neighbourhood_id,neighbourhood_name,region,lat,lon,deprivation_index
N001,Neighbourhood_001,South,22.913893,73.264075,0.624
N002,Neighbourhood_002,Central,22.606766,72.774715,0.575
N003,Neighbourhood_003,South,22.556567,73.423117,0.397
N004,Neighbourhood_004,East,23.189404,73.50205,0.43
N005,Neighbourhood_005,North,23.343595,73.189431,0.63
N006,Neighbourhood_006,West,23.426214,72.671099,0.331
N007,Neighbourhood_007,South,22.828276,72.797946,0.412
N008,Neighbourhood_008,Central,22.54908,73.711102,0.362
N009,Neighbourhood_009,South,23.444861,72.788763,0.392
N010,Neighbourhood_010,North,23.317936,74.060876,0.39
N011,Neighbourhood_011,Central,23.047186,74.072425,0.316
N012,Neighbourhood_012,West,22.680071,73.241413,0.713
N013,Neighbourhood_013,East,23.444934,73.130506,0.263
N014,Neighbourhood_014,West,23.313748,73.709245,0.576
N015,Neighbourhood_015,South,22.354717,73.927377,0.198
N016,Neighbourhood_016,East,23.219149,72.959191,0.735
N017,Neighbourhood_017,North,22.400557,72.845156,0.37
N018,Neighbourhood_018,South,22.65566,73.567093,0.834
N019,Neighbourhood_019,North,22.682013,73.777678,0.22
N020,Neighbourhood_020,West,22.611808,73.251351,0.423
N021,Neighbourhood_021,North,22.469113,73.832298,0.601
N022,Neighbourhood_022,East,22.570635,72.467027,0.351
N023,Neighbourhood_023,East,23.131932,73.505288,0.555
N024,Neighbourhood_024,North,22.351215,72.875373,0.339
N025,Neighbourhood_025,West,23.353395,73.755266,0.354
N026,Neighbourhood_026,North,23.226596,73.251487,0.187
N027,Neighbourhood_027,East,22.472252,74.071361,0.423
N028,Neighbourhood_028,South,22.481804,74.160221,0.519
N029,Neighbourhood_029,West,22.895132,73.103564,0.484
N030,Neighbourhood_030,East,22.988213,73.942506,0.503
N031,Neighbourhood_031,South,22.865805,72.510331,0.479
N032,Neighbourhood_032,North,23.449042,73.821045,0.286
N033,Neighbourhood_033,South,22.9459,73.759726,0.682
N034,Neighbourhood_034,East,22.956448,72.936624,0.462
N035,Neighbourhood_035,West,22.808497,72.467593,0.348
N036,Neighbourhood_036,South,23.090861,73.729684,0.48
N037,Neighbourhood_037,South,23.013053,73.660744,0.547
N038,Neighbourhood_038,East,23.142107,73.273818,0.494
N039,Neighbourhood_039,South,22.331798,73.920129,0.176
N040,Neighbourhood_040,South,22.395205,73.957829,0.22
N041,Neighbourhood_041,East,22.3893,72.483007,0.116
N042,Neighbourhood_042,East,23.053368,73.18283,0.263
N043,Neighbourhood_043,East,22.659562,73.478866,0.528
N044,Neighbourhood_044,East,22.383042,72.869252,0.305
N045,Neighbourhood_045,West,22.676669,73.316845,0.366
N046,Neighbourhood_046,West,22.938369,73.300257,0.506
N047,Neighbourhood_047,West,22.465074,73.854954,0.609
N048,Neighbourhood_048,West,23.252839,74.129093,0.532
N049,Neighbourhood_049,North,23.249399,72.809559,0.798
N050,Neighbourhood_050,West,23.321434,72.554541,0.569
N051,Neighbourhood_051,West,22.831945,72.906913,0.44
N052,Neighbourhood_052,West,23.430941,73.876556,0.321
N053,Neighbourhood_053,Central,22.74302,73.937271,0.506
N054,Neighbourhood_054,West,23.386433,72.864885,0.279
N055,Neighbourhood_055,Central,22.579239,72.695329,0.566
N056,Neighbourhood_056,South,22.493078,72.586052,0.609
N057,Neighbourhood_057,South,22.8679,74.104032,0.311
N058,Neighbourhood_058,South,22.59314,72.520002,0.599
N059,Neighbourhood_059,East,23.299027,73.842517,0.044
N060,Neighbourhood_060,South,23.426019,73.580617,0.312
